unique_id,ds,y
Dengue,2021-01-17,93.0
Dengue,2021-01-24,79.0
Dengue,2021-01-31,111.0
Dengue,2021-02-07,133.0
Dengue,2021-02-14,136.0
Dengue,2021-02-21,122.0
Dengue,2021-02-28,148.0
Dengue,2021-03-07,151.0
Dengue,2021-03-14,116.0
Dengue,2021-03-21,79.0
Dengue,2021-03-28,86.0
Dengue,2021-04-04,69.0
Dengue,2021-04-11,60.0
Dengue,2021-04-18,77.0
Dengue,2021-04-25,51.0
Dengue,2021-05-02,46.0
Dengue,2021-05-09,39.0
Dengue,2021-05-16,53.0
Dengue,2021-05-23,48.0
Dengue,2021-05-30,62.0
Dengue,2021-06-06,65.0
Dengue,2021-06-13,62.0
Dengue,2021-06-20,58.0
Dengue,2021-06-27,65.0
Dengue,2021-07-04,90.0
Dengue,2021-07-11,61.0
Dengue,2021-07-18,55.0
Dengue,2021-07-25,60.0
Dengue,2021-08-01,78.0
Dengue,2021-08-08,62.0
Dengue,2021-08-15,86.0
Dengue,2021-08-22,69.0
Dengue,2021-08-29,71.0
Dengue,2021-09-05,70.0
Dengue,2021-09-12,88.0
Dengue,2021-09-19,60.0
Dengue,2021-09-26,70.0
Dengue,2021-10-03,56.0
Dengue,2021-10-10,54.0
Dengue,2021-10-17,67.0
Dengue,2021-10-24,63.0
Dengue,2021-10-31,49.0
Dengue,2021-11-07,48.0
Dengue,2021-11-14,51.0
Dengue,2021-11-21,45.0
Dengue,2021-11-28,53.0
Dengue,2021-12-05,70.0
Dengue,2021-12-12,50.0
Dengue,2021-12-19,51.0
Dengue,2021-12-26,60.0
Dengue,2022-01-02,43.0
Dengue,2022-01-09,30.0
Dengue,2022-01-16,25.0
Dengue,2022-01-23,55.0
Dengue,2022-01-30,41.0
Dengue,2022-02-06,51.0
Dengue,2022-02-13,55.0
Dengue,2022-02-20,29.0
Dengue,2022-02-27,50.0
Dengue,2022-03-06,46.0
Dengue,2022-03-13,47.0
Dengue,2022-03-20,32.0
Dengue,2022-03-27,51.0
Dengue,2022-04-03,48.0
Dengue,2022-04-10,44.0
Dengue,2022-04-17,34.0
Dengue,2022-04-24,41.0
Dengue,2022-05-01,36.0
Dengue,2022-05-08,37.0
Dengue,2022-05-15,41.0
Dengue,2022-05-22,43.0
Dengue,2022-05-29,39.0
Dengue,2022-06-05,33.0
Dengue,2022-06-12,35.0
Dengue,2022-06-19,25.0
Dengue,2022-06-26,37.0
Dengue,2022-07-03,20.0
Dengue,2022-07-10,27.0
Dengue,2022-07-17,30.0
Dengue,2022-07-24,33.0
Dengue,2022-07-31,35.0
Dengue,2022-08-07,23.0
Dengue,2022-08-14,36.0
Dengue,2022-08-21,33.0
Dengue,2022-08-28,32.0
Dengue,2022-09-04,39.0
Dengue,2022-09-11,44.0
Dengue,2022-09-18,54.0
Dengue,2022-09-25,31.0
Dengue,2022-10-02,29.0
Dengue,2022-10-09,39.0
Dengue,2022-10-16,24.0
Dengue,2022-10-23,28.0
Dengue,2022-10-30,21.0
Dengue,2022-11-06,31.0
Dengue,2022-11-13,29.0
Dengue,2022-11-20,27.0
Dengue,2022-11-27,49.0
Dengue,2022-12-04,33.0
Dengue,2022-12-11,30.0
Dengue,2022-12-18,26.0
Dengue,2022-12-25,23.0
Dengue,2023-01-01,30.0
Dengue,2023-01-08,30.0
Dengue,2023-01-15,23.0
Dengue,2023-01-22,32.0
Dengue,2023-01-29,35.0
Dengue,2023-02-05,40.0
Dengue,2023-02-12,49.0
Dengue,2023-02-19,34.0
Dengue,2023-02-26,44.0
Dengue,2023-03-05,55.0
Dengue,2023-03-12,52.0
Dengue,2023-03-19,49.0
Dengue,2023-03-26,58.0
Dengue,2023-04-02,68.0
Dengue,2023-04-09,39.0
Dengue,2023-04-16,79.0
Dengue,2023-04-23,68.0
Dengue,2023-04-30,51.0
Dengue,2023-05-07,60.0
Dengue,2023-05-14,78.0
Dengue,2023-05-21,83.0
Dengue,2023-05-28,85.0
Dengue,2023-06-04,99.0
Dengue,2023-06-11,99.0
Dengue,2023-06-18,133.0
Dengue,2023-06-25,136.0
Dengue,2023-07-02,153.0
Dengue,2023-07-09,185.0
Dengue,2023-07-16,211.0
Dengue,2023-07-23,235.0
Dengue,2023-07-30,273.0
Dengue,2023-08-06,221.0
Dengue,2023-08-13,264.0
Dengue,2023-08-20,294.0
Dengue,2023-08-27,267.0
Dengue,2023-09-03,410.0
Dengue,2023-09-10,355.0
Dengue,2023-09-17,359.0
Dengue,2023-09-24,382.0
Dengue,2023-10-01,358.0
Dengue,2023-10-08,330.0
Dengue,2023-10-15,321.0
Dengue,2023-10-22,297.0
Dengue,2023-10-29,326.0
Dengue,2023-11-05,363.0
