anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2011,42,10,19.97142857,20.64285714,20.97142857,21.01428571,203.4,149.8,135.3,50.6,86.28571429,86.28571429,84.71428571,83.28571429,10,12,10
2011,43,6,19.24285714,19.97142857,20.64285714,20.97142857,93.7,203.4,149.8,135.3,83.42857143,86.28571429,86.28571429,84.71428571,10,10,9
2011,44,9,20.2,19.24285714,19.97142857,20.64285714,55.6,93.7,203.4,149.8,85.42857143,83.42857143,86.28571429,86.28571429,6,10,12
2011,45,7,20.85714286,20.2,19.24285714,19.97142857,26,55.6,93.7,203.4,84.42857143,85.42857143,83.42857143,86.28571429,9,6,10
2011,46,11,20.21428571,20.85714286,20.2,19.24285714,235.1,26,55.6,93.7,87,84.42857143,85.42857143,83.42857143,7,9,10
2011,47,10,19.81428571,20.21428571,20.85714286,20.2,358.4,235.1,26,55.6,87.42857143,87,84.42857143,85.42857143,11,7,6
2011,48,7,20.02857143,19.81428571,20.21428571,20.85714286,117.9,358.4,235.1,26,86.14285714,87.42857143,87,84.42857143,10,11,9
2011,49,10,19.98571429,20.02857143,19.81428571,20.21428571,125.2,117.9,358.4,235.1,88,86.14285714,87.42857143,87,7,10,7
2011,50,7,19.92857143,19.98571429,20.02857143,19.81428571,181.6,125.2,117.9,358.4,87.85714286,88,86.14285714,87.42857143,10,7,11
2011,51,10,19.65714286,19.92857143,19.98571429,20.02857143,189.3,181.6,125.2,117.9,89.28571429,87.85714286,88,86.14285714,7,10,10
2011,52,13,20.88571429,19.65714286,19.92857143,19.98571429,85.8,189.3,181.6,125.2,85.14285714,89.28571429,87.85714286,88,10,7,7
2012,1,17,21.48571429,20.88571429,19.65714286,19.92857143,20,85.8,189.3,181.6,83,85.14285714,89.28571429,87.85714286,13,10,10
2012,2,18,20.32857143,21.48571429,20.88571429,19.65714286,211.8,20,85.8,189.3,86.57142857,83,85.14285714,89.28571429,17,13,7
2012,3,16,21.04285714,20.32857143,21.48571429,20.88571429,16.2,211.8,20,85.8,83.42857143,86.57142857,83,85.14285714,18,17,10
2012,4,24,20.12857143,21.04285714,20.32857143,21.48571429,54.1,16.2,211.8,20,85.71428571,83.42857143,86.57142857,83,16,18,13
2012,5,15,20.2,20.12857143,21.04285714,20.32857143,138.1,54.1,16.2,211.8,84.85714286,85.71428571,83.42857143,86.57142857,24,16,17
2012,6,25,20.82857143,20.2,20.12857143,21.04285714,33.8,138.1,54.1,16.2,83.71428571,84.85714286,85.71428571,83.42857143,15,24,18
2012,7,21,20.51428571,20.82857143,20.2,20.12857143,70.5,33.8,138.1,54.1,86.71428571,83.71428571,84.85714286,85.71428571,25,15,16
2012,8,24,19.84285714,20.51428571,20.82857143,20.2,52,70.5,33.8,138.1,86.14285714,86.71428571,83.71428571,84.85714286,21,25,24
2012,9,30,19.9,19.84285714,20.51428571,20.82857143,34.3,52,70.5,33.8,85.14285714,86.14285714,86.71428571,83.71428571,24,21,15
2012,10,37,20.75714286,19.9,19.84285714,20.51428571,14,34.3,52,70.5,82.71428571,85.14285714,86.14285714,86.71428571,30,24,25
2012,11,35,21.6,20.75714286,19.9,19.84285714,8.4,14,34.3,52,80,82.71428571,85.14285714,86.14285714,37,30,21
2012,12,30,21.65714286,21.6,20.75714286,19.9,39.1,8.4,14,34.3,80.42857143,80,82.71428571,85.14285714,35,37,24
